"contrast","correct_num","estimate","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value","cohen_d","p_fdr"
"(Non-RM) - RM","3",-0.0281474670415189,0.00962192162528653,Inf,-0.0470060868891476,-0.00928884719389018,-2.92534777746963,0.00344071462870098,-0.219429194895469,0.010322143886103
"(Non-RM) - RM","4",-0.00173752327362416,0.00916980509890006,Inf,-0.01971001101272,0.0162349644654717,-0.189483119312163,0.849714184281439,-0.0135452093249139,0.849714184281439
"(Non-RM) - RM","5",0.00535981634859583,0.0083935872790053,Inf,-0.0110913124193481,0.0218109451165398,0.638560864435428,0.523108647398398,0.0417835176580952,0.784662971097597
