"cond","n","width_bias_M","width_bias_SE","spacing_bias_M","spacing_bias_SE","width_sd_M","width_sd_SE","spacing_sd_M","spacing_sd_SE"
"1-bar",18,-0.0119177890011223,0.0331484486850193,NA,NA,0.257833389030199,0.0208649672850855,NA,NA
"Non-RM",20,-0.0931630302205958,0.0170239759320003,-0.038207844949692,0.020364942191105,0.260575538816556,0.017397071258956,0.263295795630157,0.0158176027081217
"RM",20,-0.0119696962833127,0.0217457444139134,0.204853118281276,0.0337324465084596,0.280148899057801,0.0199533340756616,0.328945459958841,0.0175264860082478
