Model,k,alpha,a1,gamma,SSE,LL,AIC,BIC,RMSE,Participant,n
Null,0,NA,NA,NA,3.1750000000000007,252.5312948472319,-503.0625896944638,-499.36885755566107,0.10339359598270917,701,297
Perfect Pooling,0,NA,NA,NA,6.169496527777779,153.88131891946847,-305.76263783893694,-302.0689057001342,0.1441274282770055,701,297
Partial Pooling,1,NA,NA,-0.29915949020151744,3.0564088872794755,258.1842401590887,-512.3684803181774,-504.981016040572,0.10144426555704865,701,297
Compression + Pooling,1,0.7624631619643679,NA,NA,2.6172032213133494,281.22169643712067,-558.4433928742413,-551.0559285966359,0.09387295701262481,701,297
Compression + Partial Pooling,2,0.8388171736532717,NA,0.3002622188203443,2.214586456696863,306.02722405750563,-606.0544481150113,-594.9732516986031,0.0863511439195706,701,297
Linear Compression + Partial Pooling,3,0.7809890501561166,0.12691308949391586,0.2881121171592226,2.2043629774638682,306.7143508949784,-605.4287017899568,-590.653773234746,0.08615159642872795,701,297
Null,0,NA,NA,NA,3.0275,276.2038236696883,-550.4076473393766,-546.6743060624789,0.09898350684751331,702,309
Perfect Pooling,0,NA,NA,NA,3.605434027777778,249.21190687079365,-496.4238137415873,-492.69047246468955,0.10801884690787403,702,309
Partial Pooling,1,NA,NA,0.41610303242114216,2.682354178721793,294.9048686937848,-585.8097373875696,-578.3430548337741,0.09317058473542536,702,309
Compression + Pooling,1,0.8864025365867203,NA,NA,2.734092178943317,291.9532049525934,-579.9064099051868,-572.4397273513913,0.09406484334682043,702,309
Compression + Partial Pooling,2,0.9410387324904712,NA,0.6293755260800393,2.5831354464449223,300.7281101856738,-595.4562203713476,-584.2561965406544,0.09143118526509612,702,309
Linear Compression + Partial Pooling,3,1.12046081097473,-0.38561067313759845,0.6163957463413823,2.4731715061136472,307.44926386502743,-606.8985277300549,-591.9651626224639,0.08946391049982774,702,309
Null,0,NA,NA,NA,4.885,173.93975984851033,-345.87951969702067,-342.23054545885947,0.1311514552925438,703,284
Perfect Pooling,0,NA,NA,NA,5.269774305555556,163.1735683668054,-324.3471367336108,-320.6981624954496,0.13621873340117713,703,284
Partial Pooling,1,NA,NA,0.4324367130593576,4.596002381420624,182.59926169329935,-361.1985233865987,-353.9005749102763,0.12721284124188556,703,284
Compression + Pooling,1,0.8860910119890529,NA,NA,4.497781847937127,185.66682032392157,-367.33364064784314,-360.03569217152074,0.12584617605611872,703,284
Compression + Partial Pooling,2,0.9224700206541363,NA,0.7182349707418945,4.422019945171171,188.07908220174613,-370.15816440349226,-359.21124168900866,0.12478178057988763,703,284
Linear Compression + Partial Pooling,3,0.54714347180307,0.821171338417709,0.6853284842500882,3.962214651737979,203.6697547196037,-399.3395094392074,-384.7436124865626,0.11811629879627498,703,284
Null,0,NA,NA,NA,2.0525000000000007,183.79355752694823,-365.58711505389647,-362.2543962606311,0.09957639749056034,704,207
Perfect Pooling,0,NA,NA,NA,2.6046180555555565,159.1370131023973,-316.2740262047946,-312.94130741152924,0.11217261662526307,704,207
Partial Pooling,1,NA,NA,-0.5048628100692183,2.000208596245401,186.46459124884706,-368.9291824976941,-362.26374491116337,0.0982997632760258,704,207
Compression + Pooling,1,0.8026384377518523,NA,NA,1.1127222600960767,247.16133553548377,-490.32267107096754,-483.6572334844368,0.0733175958112144,704,207
Compression + Partial Pooling,2,0.8248152985646341,NA,0.2676187576216689,1.0138515415373757,256.79232245862124,-507.5846449172425,-497.58648853744637,0.06998452353197086,704,207
Linear Compression + Partial Pooling,3,1.1192892282588998,-0.6292373955794817,0.3047823160930679,0.8496511451998343,275.07931485403867,-542.1586297080773,-528.8277545350159,0.0640671125020242,704,207
Null,0,NA,NA,NA,1.2174999999999998,342.545585309005,-683.09117061801,-679.5001836374992,0.06740111607207401,705,268
Perfect Pooling,0,NA,NA,NA,2.285520833333334,258.15314130867546,-514.3062826173509,-510.71529563684004,0.09234751112480116,705,268
Partial Pooling,1,NA,NA,0.22272121743936907,1.1536751394110794,349.7610773900765,-695.522154780153,-688.3401808191312,0.06561065449206525,705,268
Compression + Pooling,1,0.9222998973226356,NA,NA,1.9529401125921277,279.22570621699174,-554.4514124339835,-547.2694384729617,0.08536445379874862,705,268
Compression + Partial Pooling,2,1.012431086714681,NA,0.18723676603584688,1.1482238124192508,350.3957526714661,-694.7915053429322,-684.0185444013996,0.0654554597456896,705,268
Linear Compression + Partial Pooling,3,1.045249421871732,-0.07204185576403536,0.1982256002856056,1.145416265487245,350.7238001976732,-693.4476003953464,-679.083652473303,0.06537538748742917,705,268
Null,0,NA,NA,NA,3.4450000000000003,249.61846304075067,-497.23692608150134,-493.5198983800951,0.10645297948909305,706,304
Perfect Pooling,0,NA,NA,NA,5.503437500000001,178.41421617442057,-354.82843234884115,-351.11140464743494,0.1345489235517972,706,304
Partial Pooling,1,NA,NA,0.08659339492443982,3.4319185098406364,250.1967420765422,-496.3934841530844,-488.95942875027197,0.10625067352481009,706,304
Compression + Pooling,1,0.8166576406175424,NA,NA,3.324547245876542,255.02820479576604,-506.0564095915321,-498.62235418871967,0.10457538274960063,706,304
Compression + Partial Pooling,2,0.8850578733667526,NA,0.4616274672768462,2.9848921152627805,271.4092287265897,-536.8184574531793,-525.6673743489607,0.09908947503829259,706,304
Linear Compression + Partial Pooling,3,0.610165038200019,0.5973811320625232,0.44655378642618176,2.740961512662399,284.36796258681846,-560.7359251736369,-545.8678143680121,0.09495430882975685,706,304
Null,0,NA,NA,NA,2.847500000000001,250.58111726859772,-499.16223453719545,-495.51326029903424,0.1001319551926568,707,284
Perfect Pooling,0,NA,NA,NA,9.074409722222224,86.00071501015032,-170.00143002030063,-166.35245578213943,0.17875163470366692,707,284
Partial Pooling,1,NA,NA,-0.18163544150232291,2.746066458980466,255.73172808833363,-507.46345617666725,-500.16550770034485,0.09833233494126761,707,284
Compression + Pooling,1,0.7200610083739495,NA,NA,3.3369337274959308,228.05836615609257,-452.11673231218515,-444.81878383586275,0.10839634055683076,707,284
Compression + Partial Pooling,2,0.8884344346697135,NA,0.14828269601274796,2.4879227793146343,269.75016291455665,-533.5003258291133,-522.5534031146296,0.09359642875911442,707,284
Linear Compression + Partial Pooling,3,1.364368587109141,-1.0396265665339837,0.1572002494702963,1.8306673722689033,313.3111553653231,-618.6223107306462,-604.0264137780014,0.08028705919503018,707,284
Null,0,NA,NA,NA,6.850000000000001,129.72020564915516,-257.4404112983103,-253.77745081817437,0.1542229626943479,708,288
Perfect Pooling,0,NA,NA,NA,7.758211805555557,111.79174226611173,-221.58348453222345,-217.9205240520875,0.16412871606137908,708,288
Partial Pooling,1,NA,NA,-0.2983365552826295,6.813270708809274,130.49440251376285,-256.9888050275257,-249.6628840672538,0.1538089397959147,708,288
Compression + Pooling,1,0.8304101151576283,NA,NA,6.287499470367936,142.05887460525065,-280.1177492105013,-272.7918282502294,0.14775518733101048,708,288
Compression + Partial Pooling,2,0.8640721924758061,NA,0.2540140185408808,6.0710801470014335,147.10275015134067,-288.20550030268134,-277.2166188622735,0.14519001136204424,708,288
Linear Compression + Partial Pooling,3,1.65992364228968,-1.7215276494700908,0.07003883594114772,4.339630160699754,195.45037713706193,-382.90075427412387,-368.24891235358007,0.12275243492577848,708,288
Null,0,NA,NA,NA,6.642500000000001,137.05486020705092,-272.10972041410184,-268.43639714693035,0.15108428270703628,709,291
Perfect Pooling,0,NA,NA,NA,9.007986111111112,92.73219466037898,-183.46438932075796,-179.79106605358646,0.17594112291428798,709,291
Partial Pooling,1,NA,NA,-0.2238690257716064,6.5846442307117075,138.32770761384035,-272.6554152276807,-265.3087686933377,0.15042487628217477,709,291
Compression + Pooling,1,0.7817676029683862,NA,NA,6.185544086224049,147.42514398197937,-290.85028796395875,-283.50364142961575,0.1457949424525974,709,291
Compression + Partial Pooling,2,0.8491549530459528,NA,0.3134969033439611,5.7990466858001835,156.8130122098832,-307.6260244197664,-296.6060546182519,0.14116655228434755,709,291
Linear Compression + Partial Pooling,3,1.0728236872111458,-0.4845187909224661,0.313515880798496,5.652766253713511,160.53032067045086,-313.0606413409017,-298.36734827221574,0.13937472362894346,709,291
Null,0,NA,NA,NA,11.344999999999999,57.767126751600244,-113.53425350320049,-109.86782681508805,0.19813140933057988,710,289
Perfect Pooling,0,NA,NA,NA,8.786597222222222,94.69404405070026,-187.3880881014005,-183.72166141328807,0.17436585272330313,710,289
Partial Pooling,1,NA,NA,0.9152503029339351,8.75579162013436,95.20154780260242,-186.40309560520484,-179.07024222897996,0.17405992306408133,710,289
Compression + Pooling,1,0.9751766940249741,NA,NA,8.744621701354731,95.38600670116506,-186.77201340233012,-179.43916002610524,0.17394886196546994,710,289
Compression + Partial Pooling,2,0.9778932263063298,NA,0.9864987005648113,8.744357720440673,95.39036890448915,-184.7807378089783,-173.781457744641,0.17394623637869763,710,289
Linear Compression + Partial Pooling,3,0.4936860327220296,1.1093604994094668,0.8168477046693013,7.85897658583899,110.8160716054445,-213.632143210889,-198.9664364584393,0.16490509576250037,710,289
Null,0,NA,NA,NA,1.7175000000000005,360.4334936857449,-718.8669873714898,-715.1401396239027,0.0747961398784497,711,307
Perfect Pooling,0,NA,NA,NA,4.044409722222223,228.96598310271537,-455.93196620543074,-452.2051184578435,0.11477792922227893,711,307
Partial Pooling,1,NA,NA,-0.09195617116656699,1.705321473516094,361.52581574721194,-719.0516314944239,-711.5979359992494,0.07453048418829926,711,307
Compression + Pooling,1,0.8142833937079256,NA,NA,1.810542027712447,352.3353681485101,-700.6707362970202,-693.2170408018458,0.07679538420304936,711,307
Compression + Partial Pooling,2,0.898007416874399,NA,0.2958768159490672,1.382661588223226,393.72141409638516,-781.4428281927703,-770.2622849500087,0.06711023524764477,711,307
Linear Compression + Partial Pooling,3,1.0355447756283014,-0.29952700787499287,0.3024131967638466,1.3225025262691716,400.54979003276276,-793.0995800655255,-778.1921890751768,0.06563402942427318,711,307
Null,0,NA,NA,NA,1.4149999999999996,231.77441301381953,-461.54882602763905,-458.18753386192964,0.08150578193148575,712,213
Perfect Pooling,0,NA,NA,NA,1.9825520833333337,195.8567113558056,-389.7134227116112,-386.3521305459018,0.09647671356229393,712,213
Partial Pooling,1,NA,NA,0.35616763052494527,1.2663919007891717,243.59140774338357,-483.18281548676714,-476.4602311553483,0.07710708061935236,712,213
Compression + Pooling,1,0.942869365134405,NA,NA,1.8398891516338047,203.81009084273165,-403.6201816854633,-396.8975973540445,0.09294071894340711,712,213
Compression + Partial Pooling,2,1.0273998453279796,NA,0.2850901611152821,1.2449243779350219,245.4122432112406,-484.8244864224812,-474.7406099253529,0.07645073831799337,712,213
Linear Compression + Partial Pooling,3,0.9725953731133422,0.11696437594105849,0.2851779417041031,1.238504632655986,245.96285640954966,-483.9257128190993,-470.4805441562616,0.07625336543503472,712,213
Null,0,NA,NA,NA,2.725,283.8181776141997,-565.6363552283995,-561.9226224228901,0.09483353489106053,713,303
Perfect Pooling,0,NA,NA,NA,3.7095486111111113,237.08924901411626,-472.1784980282325,-468.46476522272314,0.11064689191358103,713,303
Partial Pooling,1,NA,NA,-0.15257536993224632,2.71208909748795,284.5376822505825,-565.075364501165,-557.6478988901463,0.09460861007656912,713,303
Compression + Pooling,1,0.9196463847353614,NA,NA,3.3514923434806643,252.46717754398878,-500.93435508797756,-493.5068894769588,0.10517143545930069,713,303
Compression + Partial Pooling,2,0.9800688440622625,NA,-0.0792493606100851,2.695334651462022,285.47650517755403,-564.9530103551081,-553.8118119385799,0.09431592601048136,713,303
Linear Compression + Partial Pooling,3,0.9586307268634833,0.04613512735084824,-0.07598152632996463,2.6940404701686953,285.5492662918882,-563.0985325837764,-548.2436013617389,0.09429328010958192,713,303
Null,0,NA,NA,NA,3.3600000000000008,245.44404147202096,-488.8880829440419,-485.1909894575365,0.1061845929748516,714,298
Perfect Pooling,0,NA,NA,NA,6.184079861111112,154.5484910167234,-307.0969820334468,-303.3998885469414,0.14405535686899928,714,298
Partial Pooling,1,NA,NA,-0.3411219291969768,3.212811102883764,252.11844984664316,-500.2368996932863,-492.84271272027553,0.10383277571022785,714,298
Compression + Pooling,1,0.7912456126512847,NA,NA,3.4312364799852255,242.3180643790276,-480.6361287580552,-473.2419417850444,0.10730431666894555,714,298
Compression + Partial Pooling,2,0.8953434675424435,NA,0.09974231252795326,2.9177635984935395,266.47144923986826,-526.9428984797365,-515.8516180202203,0.09895025525524931,714,298
Linear Compression + Partial Pooling,3,1.2673386383680885,-0.8173365869841587,0.1497378675666843,2.500876689852191,289.44368598926616,-570.8873719785323,-556.0989980325107,0.09160897148872547,714,298
Null,0,NA,NA,NA,4.010000000000001,217.85897891461906,-433.7179578292381,-430.0242256904354,0.11619674479813755,715,297
Perfect Pooling,0,NA,NA,NA,5.332777777777778,175.52444742073993,-349.04889484147986,-345.35516270267715,0.13399806242352355,715,297
Partial Pooling,1,NA,NA,-0.010203623950635309,4.009896180184015,217.8628236633113,-431.7256473266226,-424.33818304901723,0.11619524060826897,715,297
Compression + Pooling,1,0.8546525122323477,NA,NA,4.081265253069517,215.24303111929095,-426.4860622385819,-419.0985979609765,0.11722471517866405,715,297
Compression + Partial Pooling,2,0.9178569056233965,NA,0.33374354875486617,3.789574958011536,226.25477936869862,-446.50955873739724,-435.42836232098915,0.11295800831785449,715,297
Linear Compression + Partial Pooling,3,1.3228223163849016,-0.8875458508246434,0.3971835169787952,3.2864185528896295,247.40941791610265,-486.8188358322053,-472.0439072769945,0.10519212105933465,715,297
Null,0,NA,NA,NA,1.8225,321.9951931179483,-641.9903862358966,-638.3239595477842,0.07941176470588235,716,289
Perfect Pooling,0,NA,NA,NA,5.329635416666668,166.93605086472752,-331.87210172945504,-328.2056750413426,0.13580001855805873,716,289
Partial Pooling,1,NA,NA,0.1348189525477331,1.761232249555014,326.9364398396497,-649.8728796792994,-642.5400263030746,0.07806554449444762,716,289
Compression + Pooling,1,0.7889210090337045,NA,NA,1.963794012852501,311.2055026637278,-618.4110053274557,-611.0781519512308,0.08243260879390636,716,289
Compression + Partial Pooling,2,0.9130387067699018,NA,0.4177013839687523,1.6425829123603624,337.0144126377348,-668.0288252754696,-657.0295452111322,0.07539017109305894,716,289
Linear Compression + Partial Pooling,3,0.8968211009192203,0.03515857893322979,0.4178167889041693,1.64170133422204,337.0919869488985,-666.183973897797,-651.5182671453473,0.07536993733615215,716,289
Null,0,NA,NA,NA,5.147500000000002,179.66774174324632,-357.33548348649265,-353.6451240321686,0.13187191779413351,717,296
Perfect Pooling,0,NA,NA,NA,12.95930555555556,43.01890575117176,-84.03781150234352,-80.34745204801945,0.20924014358551682,717,296
Partial Pooling,1,NA,NA,-0.8674628705884743,3.7627125732885522,226.04665470964653,-448.09330941929306,-440.71259051064493,0.1127469148209853,717,296
Compression + Pooling,1,0.6153703685652178,NA,NA,2.4199194464210865,291.37472396564226,-578.7494479312845,-571.3687290226364,0.0904179381273781,717,296
Compression + Partial Pooling,2,0.7235461610926053,NA,0.1967390972613875,1.994575883461312,319.9835405877151,-633.9670811754302,-622.8960028124579,0.08208795306694308,717,296
Linear Compression + Partial Pooling,3,1.145714664043708,-0.917023149126537,0.22045739290375216,1.4500359326329813,367.1723194981365,-726.344638996273,-711.5832011789768,0.06999121403918489,717,296
Null,0,NA,NA,NA,3.845000000000001,210.4017832277646,-418.8035664555292,-415.1475746447094,0.1159485055706021,718,286
Perfect Pooling,0,NA,NA,NA,5.035277777777779,171.83538520602593,-341.67077041205187,-338.014778601232,0.13268709943271184,718,286
Partial Pooling,1,NA,NA,-0.42450853455918824,3.7623325197078814,213.5098148555798,-423.0196297111596,-415.7076460895199,0.11469528678270706,718,286
Compression + Pooling,1,0.7687968167919564,NA,NA,2.2551397785841134,286.7010985851269,-569.4021971702538,-562.0902135486141,0.08879810876884413,718,286
Compression + Partial Pooling,2,0.7971993429269588,NA,0.3925585250402334,2.1088898944009,296.28928640282453,-586.5785728056491,-575.6105973731895,0.08587048904899539,718,286
Linear Compression + Partial Pooling,3,1.0797710389255004,-0.6140179891346597,0.41033830708766317,1.8825888121700025,312.5217648484192,-617.0435296968384,-602.419562453559,0.08113247416559399,718,286
Null,0,NA,NA,NA,3.860000000000001,218.52355461268894,-435.0471092253779,-431.3669366163608,0.11477831429955357,719,293
Perfect Pooling,0,NA,NA,NA,7.627447916666668,118.74443719084877,-235.48887438169754,-231.80870177268048,0.16134511287725542,719,293
Partial Pooling,1,NA,NA,-0.5117855047912185,3.5075751847465955,232.5497891525091,-461.0995783050182,-453.7392330869841,0.10941319099780818,719,293
Compression + Pooling,1,0.7270481632181918,NA,NA,2.9211469521638342,259.3517645013221,-514.7035290026442,-507.3431837846101,0.09984880980598512,719,293
Compression + Partial Pooling,2,0.8115774348410985,NA,0.2822444760106672,2.6105831302883176,275.8187619629239,-545.6375239258477,-534.5970060987966,0.09439194899520674,719,293
Linear Compression + Partial Pooling,3,1.063799257286743,-0.5498486055530298,0.28472576572050223,2.4170766777985975,287.1014290435927,-566.2028580871854,-551.4821676511172,0.09082625422558449,719,293
Null,0,NA,NA,NA,5.372500000000002,183.1740575011895,-364.348115002379,-360.62780322577163,0.13272058656576477,720,305
Perfect Pooling,0,NA,NA,NA,9.027395833333335,104.03104317404063,-206.06208634808127,-202.34177457147385,0.1720407484454862,720,305
Partial Pooling,1,NA,NA,-0.999999964588516,4.164281264970982,222.0233797727875,-440.046759545575,-432.6061359923602,0.11684768374523379,720,305
Compression + Pooling,1,0.6525650765724339,NA,NA,1.7947055060178339,350.3830491956728,-696.7660983913456,-689.3254748381308,0.07670906300822253,720,305
Compression + Partial Pooling,2,0.7195462221414909,NA,0.003403722295003437,1.4516248173827304,382.737060655978,-759.474121311956,-748.3131859821337,0.06898859058397301,720,305
Linear Compression + Partial Pooling,3,0.8790919630497052,-0.34958380476452255,0.029306596434625094,1.37619045515419,390.87512413357024,-773.7502482671405,-758.8690011607108,0.06717216576056304,720,305
