"contrast","correct_width","correct_num","estimate","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value","cohen_d","p_fdr"
"(Non-RM) - RM","0.25","3",-0.0127186349478459,0.0121736481156901,Inf,-0.0365785468150623,0.0111412769193705,-1.04476774973095,0.296130323656154,-0.124402458228075,0.296130323656154
"(Non-RM) - RM","0.4","3",-0.0672392882409186,0.0130623372259468,Inf,-0.0928409987576911,-0.041637577724146,-5.14756946462503,2.63883296820952e-07,-0.657675354389589,1.18747483569428e-06
"(Non-RM) - RM","0.55","3",-0.0935144820758763,0.0121032741263821,Inf,-0.117236463458601,-0.069792500693152,-7.72637892023271,1.1064894346369e-14,-0.914676103046308,9.9584049117321e-14
"(Non-RM) - RM","0.25","4",-0.0114469621509357,0.0108257627107255,Inf,-0.0326650671691345,0.00977114286726295,-1.05738158657355,0.290337471698896,-0.111964077643515,0.296130323656154
"(Non-RM) - RM","0.4","4",-0.0327987500656825,0.0132550928378967,Inf,-0.0587782546396949,-0.00681924549167005,-2.47442628028299,0.0133450359147441,-0.320808416289217,0.0240210646465394
"(Non-RM) - RM","0.55","4",-0.0491553509079435,0.0114078585557849,Inf,-0.0715143428180091,-0.0267963589978779,-4.30890255761601,1.64066628919867e-05,-0.480794245065386,4.92199886759601e-05
"(Non-RM) - RM","0.25","5",-0.012353590206675,0.0100087173725586,Inf,-0.0319703157883303,0.00726313537498026,-1.23428305014841,0.217097449690145,-0.120831912854998,0.279125292458758
"(Non-RM) - RM","0.4","5",-0.0205151964037833,0.0113223165673311,Inf,-0.0427065290973135,0.00167613628974679,-1.81192570281747,0.0699976773144032,-0.200661539082435,0.104996515971605
"(Non-RM) - RM","0.55","5",-0.0340145845174819,0.0108102986319745,Inf,-0.0552023804982746,-0.0128267885366893,-3.14649813806939,0.00165238313583891,-0.332700635479599,0.00371786205563754
