"rm_type","emmean","SE","df","lower.CL","upper.CL","z.ratio","p.value","grouping","correct_num","p_fdr"
"Non-RM",-0.0330248900671836,0.00807641700154461,Inf,-0.048854376514338,-0.0171954036200292,-4.08905212062077,4.3313952945458e-05,"overall",NA,8.6627905890916e-05
"RM",-0.0248498320783346,0.00981612130666112,Inf,-0.0440890763072666,-0.00561058784940253,-2.53153270034181,0.0113565227637652,"overall",NA,0.0151420303516869
"Non-RM",-0.0132571727340216,0.00866827235472325,Inf,-0.0302466743574633,0.00373232888942022,-1.5293904242404,0.126167684895143,"by_num","3",0.144191639880163
"RM",0.0148902943074973,0.0117044126706879,Inf,-0.00804993298724523,0.0378305216022399,1.27219491711771,0.203303873149857,"by_num","3",0.203303873149857
"Non-RM",-0.0458825867191634,0.00867067577409322,Inf,-0.0628767989580101,-0.0288883744803167,-5.29169673905398,1.21186727381994e-07,"by_num","4",9.69493819055949e-07
"RM",-0.0441450634455392,0.0113380367512844,Inf,-0.0663672071334482,-0.0219229197576303,-3.89353681011294,9.87932032903867e-05,"by_num","4",0.000158069125264619
"Non-RM",-0.0399349107483659,0.00918819081778917,Inf,-0.0579434338343143,-0.0219263876624175,-4.34633014706751,1.38434157558056e-05,"by_num","5",3.6915775348815e-05
"RM",-0.0452947270969618,0.0102654715109669,Inf,-0.0654146815427788,-0.0251747726511447,-4.41233771372043,1.02260440115466e-05,"by_num","5",3.6915775348815e-05
