"comparison","t","df","p","dz","p_fdr"
"RM vs 0",-0.5504,19,0.5884,-0.1231,0.889
"Non-RM vs 0",-5.4725,19,0,-1.2237,1e-04
"1-bar vs 0",-0.3595,17,0.7236,-0.0847,0.889
"RM vs 1-bar",0.1417,17,0.889,0.0334,0.889
"Non-RM vs 1-bar",-2.3981,17,0.0282,-0.5652,0.0706
