"contrast","spacing_category","correct_num","estimate","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value","cohen_d","p_fdr"
"(Non-RM) - RM","Smaller","3",-0.123363526456384,0.0404007501573781,Inf,-0.202547541713246,-0.0441795111995219,-3.05349593697717,0.00226191784803661,-0.448808889843228,0.00226191784803661
"(Non-RM) - RM","Middle","3",-0.251102487828999,0.0400956549385212,Inf,-0.329688527445046,-0.172516448212952,-6.26258601372181,3.7864489291249e-10,-0.913536051024372,1.70390201810621e-09
"(Non-RM) - RM","Larger","3",-0.641018414733179,0.02855297929753,Inf,-0.696981225807656,-0.585055603658703,-22.4501411237542,1.2756610125982e-111,-2.33208932453127,1.14809491133838e-110
"(Non-RM) - RM","Smaller","4",-0.138066342562725,0.028248358588274,Inf,-0.193432108018115,-0.0827005771073353,-4.88758814538827,1.02078796340572e-06,-0.502299210392626,2.29677291766287e-06
"(Non-RM) - RM","Middle","4",-0.13449091428177,0.0351243838262538,Inf,-0.203333441560389,-0.0656483870031514,-3.82898999586847,0.000128670236680573,-0.489291443481416,0.00019300535502086
"(Non-RM) - RM","Larger","4",-0.135428143541272,0.041411648970269,Inf,-0.216593484063414,-0.0542628030191291,-3.27029101493883,0.00107436894589277,-0.49270117758653,0.00120866506412936
"(Non-RM) - RM","Smaller","5",-0.098174398513791,0.0284726948698307,Inf,-0.153979855001458,-0.0423689420261245,-3.44801919743169,0.000564713898048631,-0.357168314441623,0.000726060726062525
"(Non-RM) - RM","Middle","5",-0.135403749870234,0.0315773021724707,Inf,-0.197294124857215,-0.073513374883253,-4.28800880869043,1.80281945688464e-05,-0.492612430963181,3.24507502239235e-05
"(Non-RM) - RM","Larger","5",-0.19641681964721,0.036992644810984,Inf,-0.268921071169621,-0.123912568124799,-5.30961818628575,1.09855128402169e-07,-0.714584102000109,3.29565385206508e-07
