"contrast","correct_num","estimate","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value","cohen_d","p_fdr"
"(Non-RM) - RM","3",0.550817871463337,0.0429973977161337,Inf,0.46654452051077,0.635091222415904,12.8104932093752,1.43221324097303e-37,0.841389051985115,2.14831986145954e-37
"(Non-RM) - RM","4",0.545708186678669,0.0405042335289654,Inf,0.466321347740498,0.625095025616841,13.4728678741303,2.25917568872739e-41,0.833583871616707,6.77752706618216e-41
"(Non-RM) - RM","5",0.433231103292646,0.0360736939605327,Inf,0.362527962340682,0.50393424424461,12.0096129818763,3.16321920643544e-33,0.661772114113636,3.16321920643544e-33
