"subID","width_bias_Non-RM","width_bias_RM","spacing_bias_Non-RM","spacing_bias_RM","delta_width","delta_spacing"
"701",-0.182418089524689,-0.0987727272727273,-0.0812317885920435,0.0851771314306004,0.0836453622519612,0.166408920022644
"702",-0.0183481152993349,0.121269592476489,0.0184887301904181,0.226988901176384,0.139617707775824,0.208500170985966
"703",-0.133350951374207,-0.0083198051948052,-0.0026241384848527,0.266114037128648,0.125031146179402,0.2687381756135
"704",-0.132673509286413,-0.0967532467532468,0.0909937461485929,0.281814248170356,0.0359202625331658,0.190820502021763
"705",0.0119834710743802,0.0582386363636364,-0.0939390628255872,0.0643764652547259,0.0462551652892562,0.158315528080313
"706",-0.156392045454545,-0.0343276515151515,-0.00626773208927013,0.241034863016179,0.122064393939394,0.247302595105449
"707",-0.0427703761755487,0.0180059523809523,-0.0385206924797637,0.185566663311824,0.060776328556501,0.224087355791588
"708",0.00194537972315746,0.0486868686868686,-0.0176110260900705,0.138608305274972,0.0467414889637112,0.156219331365043
"709",-0.123554721977052,-0.0300534759358289,0.000276923866699183,0.292245668406547,0.0935012460412232,0.291968744539848
"710",-0.0822727272727272,0.161396337475474,0.116611854892454,0.485754659471122,0.243669064748201,0.369142804578667
"711",-0.0900645802285147,0.00694648093841639,-0.0480289152597183,0.182545754074506,0.0970110611669311,0.230574669334224
"712",0.0247225158562368,0.0833148558758315,0.0857753852684203,0.563506429876831,0.0585923400195948,0.47773104460841
"713",-0.0353596202993793,-0.0015993265993266,0.0473843383626261,0.261890250430467,0.0337602937000527,0.214505912067841
"714",-0.0502041371801851,-0.0145211658570438,0.00192756068005207,0.352308998634143,0.0356829713231414,0.350381437954091
"715",-0.00360310421286035,0.0553853754940711,-0.146181742311098,0.0209161295288271,0.0589884797069315,0.167097871839925
"716",-0.114470655926352,0.0401948051948052,-0.168960951198855,0.0633206607140967,0.154665461121157,0.232281611912952
"717",-0.194050802139037,-0.160553977272727,-0.147434923527552,0.101658501302364,0.0334968248663101,0.249093424829917
"718",-0.155190796857464,-0.0540169133192389,-0.0931413221786964,0.15048919548414,0.101173883538225,0.243630517662836
"719",-0.149196042053185,-0.0717777085927771,-0.0530904108330752,0.199808795558228,0.0774183334604078,0.252899206391304
"720",-0.237991695804196,-0.262136832239925,-0.22858273253252,-0.0670632926194492,-0.0241451364357292,0.161519439913071
