"rm_type","emmean","SE","df","lower.CL","upper.CL","z.ratio","p.value"
"Non-RM",-0.180948486778266,0.0566674549916093,Inf,-0.292014657657365,-0.0698823158991676,-3.19316416812894,0.00140722918000771
"RM",-0.690867540589817,0.058348069403756,Inf,-0.805227655188622,-0.576507425991012,-11.8404524374091,2.41148538056848e-32
