"contrast","correct_num","correct_width","estimate","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value","cohen_d","p_fdr"
"(Non-RM) - RM","3","0.25",-0.00863996970395769,0.014676538624678,Inf,-0.0374054568260376,0.0201255174181222,-0.588692601498689,0.556067501869622,-0.0673546075483166,0.625575939603324
"(Non-RM) - RM","4","0.25",0.0216021242611762,0.0129089799357468,Inf,-0.00369901149003768,0.0469032600123902,1.67341837764864,0.0942449624902979,0.168403669419698,0.282734887470894
"(Non-RM) - RM","5","0.25",0.0090980936599904,0.0118299581070492,Inf,-0.0140881981684437,0.0322843854884245,0.769072348157262,0.44185036252307,0.0709260042457993,0.625575939603324
"(Non-RM) - RM","3","0.4",-0.0281390684221659,0.0158281713944275,Inf,-0.059161714296371,0.0028835774520391,-1.77778390952177,0.075439352163595,-0.219363721782733,0.282734887470894
"(Non-RM) - RM","4","0.4",-0.0146117986560111,0.0160820447884844,Inf,-0.0461320272392006,0.0169084299271783,-0.90857840829258,0.363572708140873,-0.11390919155652,0.625575939603324
"(Non-RM) - RM","5","0.4",0.00881533879856308,0.0135700609465047,Inf,-0.0177814919245997,0.0354121695217259,0.649616743308266,0.515939815080416,0.0687217323124044,0.625575939603324
"(Non-RM) - RM","3","0.55",-0.047663362998433,0.0145731061968639,Inf,-0.0762261262871638,-0.0191005997097022,-3.27063855533352,0.00107304962168367,-0.371569255355357,0.00965744659515301
"(Non-RM) - RM","4","0.55",-0.0122028954260376,0.0136777871034532,Inf,-0.0390108655370124,0.0146050746849372,-0.892168837966248,0.372302442261841,-0.0951301058379192,0.625575939603324
"(Non-RM) - RM","5","0.55",-0.00183398341276598,0.0128965422982176,Inf,-0.0271107418423699,0.0234427750168379,-0.142207373911335,0.886916207448248,-0.0142971835839182,0.886916207448248
