"correct_num","correct_width","n_subj","mean_RM_pct","sd_RM_pct"
"3","0.25",20,21.1874521811942,20.1253303558989
"3","0.4",20,19.6619138843277,21.9655871917777
"3","0.55",20,21.302895021645,21.9562839585025
"4","0.25",20,26.9581340069145,20.8059186184414
"4","0.4",20,30.5751049078635,21.9674825822781
"4","0.55",20,37.7092727028299,21.2169831038655
"5","0.25",20,51.6146145232455,29.3615352637077
"5","0.4",20,53.9218573253056,29.4843958628535
"5","0.55",20,58.5397532384601,26.7673675507081
