"contrast","correct_num","correct_width","estimate","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value","cohen_d","p_fdr"
"(Non-RM) - RM","3","0.25",0.57811214990146,0.0710909973430941,Inf,0.438776355483962,0.717447944318957,8.1320022437077,4.22257002823073e-16,0.883081793360154,1.90015651270383e-15
"(Non-RM) - RM","4","0.25",0.469293825052264,0.061555163335863,Inf,0.348647921851492,0.589939728253036,7.62395548350119,2.46018239795725e-14,0.71685888751973,3.69027359693587e-14
"(Non-RM) - RM","5","0.25",0.38430658720289,0.0557307756710918,Inf,0.275076274057069,0.493536900348711,6.89576957390591,5.35739751763143e-12,0.587038605372843,6.88808252266898e-12
"(Non-RM) - RM","3","0.4",0.525378407259778,0.0771754654556646,Inf,0.374117274476561,0.676639540042996,6.80758326701114,9.92518673982879e-12,0.802529589033456,1.11658350823074e-11
"(Non-RM) - RM","4","0.4",0.61978798639974,0.0785898431356013,Inf,0.465754724303309,0.773821248496171,7.88636243147016,3.11122175874455e-15,0.946742749873451,9.33366527623364e-15
"(Non-RM) - RM","5","0.4",0.431688708241939,0.0652674195700742,Inf,0.303766916520729,0.559610499963149,6.61415314234167,3.7368473923221e-11,0.659416064361558,3.7368473923221e-11
"(Non-RM) - RM","3","0.55",0.548963057228772,0.0703600066487183,Inf,0.411059978245286,0.686866136212259,7.80220303232124,6.08356650120703e-15,0.838555773561736,1.09504197021727e-14
"(Non-RM) - RM","4","0.55",0.548042748584004,0.0657697830224482,Inf,0.419136342588992,0.676949154579017,8.33274375250636,7.89900062371404e-17,0.837149977456941,7.10910056134263e-16
"(Non-RM) - RM","5","0.55",0.483698014433109,0.061673043636977,Inf,0.362821070087667,0.604574958778551,7.84294054433696,4.40116407745517e-15,0.738861672606506,9.90261917427414e-15
