"subID","cond","n_w","n_s","width_bias","spacing_bias","width_sd","spacing_sd","width_se","spacing_se","rmse_width","rmse_spacing","bias_total","sd_total","rmse_total"
"701","Non-RM",197,197,-0.182418089524689,-0.0812317885920435,0.224393066574837,0.230789931083509,0.0159873440311978,0.016443101756613,0.289186112586163,0.244668338301859,0.199687162490982,0.321894766369989,0.37880232771208
"701","RM",100,100,-0.0987727272727273,0.0851771314306004,0.217939062801392,0.2391551127247,0.0217939062801392,0.02391551127247,0.239277008397467,0.253870659315152,0.13042697332852,0.323562363443453,0.34886071491177
"702","Non-RM",164,164,-0.0183481152993349,0.0184887301904181,0.227493974988041,0.296850749266859,0.0177642949404374,0.0231801491162284,0.228232692642612,0.297425957986773,0.0260477730159751,0.373997160411887,0.374903137457193
"702","RM",145,145,0.121269592476489,0.226988901176384,0.273813555799394,0.31622208460079,0.0227389781318195,0.0262608147560226,0.299466487939672,0.38925617277897,0.257352434060134,0.4182944777651,0.491121721618433
"703","Non-RM",172,172,-0.133350951374207,-0.0026241384848527,0.299125952311634,0.248202062186525,0.0228081400384515,0.0189252298185247,0.327503910783899,0.248215933768224,0.133376768348891,0.388690878488273,0.4109379045004
"703","RM",112,112,-0.0083198051948052,0.266114037128648,0.37944981723214,0.418580205081798,0.0358546375508984,0.039552111656459,0.379541016170827,0.496010149939724,0.266244060807723,0.564970399121781,0.624561807829466
"704","Non-RM",186,186,-0.132673509286413,0.0909937461485929,0.180586093808539,0.198443335690821,0.0132412148349989,0.0145505713371364,0.224083906926397,0.218310831884848,0.160879215265759,0.268311562846491,0.312846954055258
"704","RM",21,21,-0.0967532467532468,0.281814248170356,0.189759214854499,0.326265947690846,0.0414088555183872,0.0711970667609431,0.21300176144692,0.431124969230998,0.297960502800485,0.377436124721524,0.480872633317721
"705","Non-RM",220,220,0.0119834710743802,-0.0939390628255872,0.175075366424648,0.198131187671539,0.0118035787964199,0.0133580019477831,0.175485006504018,0.219272695638751,0.0947003226158186,0.264399983844287,0.280847828121208
"705","RM",48,48,0.0582386363636364,0.0643764652547259,0.186225372709602,0.201168708654973,0.0268793172659567,0.0290362020236195,0.195119522873355,0.211218319803473,0.0868105295697981,0.274132702869868,0.287549659757977
"706","Non-RM",208,208,-0.156392045454545,-0.00626773208927013,0.242719357153866,0.215949778072402,0.0168295593801139,0.0149734230339445,0.288740641785397,0.216040716336209,0.156517591174281,0.3248799670443,0.360617178367455
"706","RM",96,96,-0.0343276515151515,0.241034863016179,0.275305492693017,0.291330275537565,0.028098249186809,0.0297337717371442,0.277437383864343,0.378115239885966,0.243467026202264,0.400832189016474,0.468980422405363
"707","Non-RM",116,116,-0.0427703761755487,-0.0385206924797637,0.27724447454354,0.217005844555594,0.0257415032290409,0.0201484868455739,0.280524158929533,0.220398231209797,0.0575599585416674,0.352073905929154,0.35674806805858
"707","RM",168,168,0.0180059523809523,0.185566663311824,0.289616326341222,0.317857686646185,0.0223443846790825,0.0245232529303536,0.290175517238326,0.368060450867447,0.186438195801797,0.430012936367558,0.468690010878489
"708","Non-RM",243,243,0.00194537972315746,-0.0176110260900705,0.445296155632272,0.473533542111543,0.0285657617025998,0.0303771908898241,0.445300405033667,0.473860911813424,0.0177181472567652,0.650017447247061,0.650258882651978
"708","RM",45,45,0.0486868686868686,0.138608305274972,0.428412924136371,0.521486216308472,0.0638640280538924,0.0777385752663268,0.431170551811703,0.539592564895891,0.146910426701893,0.674896664213716,0.690701224003935
"709","Non-RM",206,206,-0.123554721977052,0.000276923866699183,0.405405787333029,0.293963004451086,0.0282459596219808,0.0204813730181425,0.423815551538567,0.293963134887246,0.123555032312143,0.500767511315403,0.515784786901162
"709","RM",85,85,-0.0300534759358289,0.292245668406547,0.388926813642811,0.380151813761303,0.0421850358707431,0.041233253499916,0.390086244036079,0.479502796872342,0.293786899160284,0.543856109532989,0.618134459478335
