"participant","correct_width","width_deviation"
702,0.25,0
702,0.55,0
702,0.4,-0.1
704,0.4,-0.05
704,0.55,-0.15
704,0.25,0.05
704,0.4,-0.1
704,0.25,0
704,0.55,0
704,0.4,0
704,0.25,-0.05
704,0.55,-0.2
704,0.25,0
704,0.4,-0.05
704,0.55,-0.15
704,0.4,0.05
704,0.25,-0.05
704,0.55,-0.05
704,0.55,-0.1
704,0.4,0.15
704,0.25,0.05
705,0.25,-0.05
705,0.55,0
705,0.4,0
705,0.25,-0.05
705,0.4,0.05
705,0.55,0
705,0.25,0.05
705,0.4,0.1
705,0.55,0.0499999999999999
705,0.55,0.0499999999999999
705,0.25,-0.1
705,0.4,0.05
705,0.4,0.05
705,0.55,0
705,0.25,-0.05
705,0.25,-0.15
705,0.4,0.05
705,0.55,0
706,0.55,0.2
706,0.25,0
706,0.4,0.15
706,0.4,0.1
706,0.25,-0.05
706,0.55,0.15
706,0.55,0.1
706,0.25,-0.05
706,0.4,0.2
706,0.55,0.1
706,0.25,-0.05
706,0.4,0.05
706,0.55,0.1
706,0.25,0.05
706,0.4,0.1
706,0.4,0.15
706,0.25,0
706,0.55,0.1
707,0.4,-0.3
707,0.55,-0.2
707,0.25,0
707,0.4,0.1
707,0.25,-0.05
707,0.55,0
707,0.55,0.0499999999999999
707,0.4,-0.1
707,0.25,-0.05
707,0.55,0
707,0.4,0
707,0.25,-0.05
707,0.25,0
707,0.55,0.1
707,0.4,0.3
707,0.55,0.1
707,0.4,0.3
707,0.25,0.1
708,0.25,0
708,0.4,0
708,0.55,0.1
708,0.55,0.15
708,0.4,-0.05
708,0.25,-0.2
708,0.4,0.1
708,0.55,0
708,0.25,0
708,0.4,0.1
708,0.55,0
708,0.25,0
708,0.4,-0.05
708,0.25,-0.05
708,0.55,-0.15
708,0.55,-0.05
708,0.4,0
708,0.25,-0.1
709,0.25,0.05
709,0.4,0.05
709,0.55,0.0499999999999999
709,0.55,0
709,0.25,0.4
709,0.4,0.2
709,0.4,0.1
709,0.55,0.1
709,0.25,0
709,0.4,0.15
709,0.25,-0.1
709,0.55,0
709,0.25,0.1
709,0.55,0
709,0.4,0.25
709,0.55,0
709,0.4,0.15
709,0.25,-0.1
710,0.25,0.05
710,0.55,0.1
710,0.4,-0.05
710,0.55,-0.05
710,0.25,-0.1
710,0.4,-0.2
710,0.4,-0.05
710,0.55,0.15
710,0.25,0.05
710,0.4,-0.2
710,0.25,-0.05
710,0.55,0.25
710,0.4,0.1
710,0.25,-0.1
710,0.55,0.3
710,0.4,0.3
710,0.25,-0.1
710,0.55,0.15
711,0.25,0
711,0.4,0
711,0.55,0.0499999999999999
711,0.4,-0.15
711,0.25,-0.05
711,0.55,-0.05
711,0.55,-0.05
711,0.25,0
711,0.4,0.15
711,0.55,-0.1
711,0.25,0
711,0.4,0.05
711,0.55,-0.15
711,0.25,0
711,0.4,-0.05
711,0.55,0
711,0.25,0
711,0.4,0.05
712,0.25,-0.05
712,0.4,0.15
712,0.55,-0.05
712,0.4,0.05
712,0.25,-0.05
712,0.55,0.0499999999999999
712,0.4,-0.05
712,0.25,-0.05
712,0.55,-0.15
712,0.4,0
712,0.55,0.25
712,0.25,0
712,0.55,0.1
712,0.4,0.05
712,0.25,-0.1
712,0.25,-0.05
712,0.55,0
712,0.4,0.1
713,0.25,0.2
713,0.4,0.25
713,0.55,0.15
713,0.55,0.1
713,0.25,-0.05
713,0.4,0.05
713,0.25,0.05
713,0.4,0.05
713,0.55,0.1
713,0.4,0.05
713,0.25,-0.05
713,0.55,-0.1
713,0.55,0
713,0.25,-0.1
713,0.4,0
713,0.25,0.05
713,0.4,0.1
713,0.55,-0.1
714,0.25,0.2
714,0.4,0
714,0.55,-0.25
714,0.4,-0.1
714,0.55,-0.1
714,0.25,-0.1
714,0.25,-0.1
714,0.55,-0.05
714,0.4,-0.05
714,0.4,0.15
714,0.25,-0.1
714,0.55,0.0499999999999999
714,0.25,0
714,0.55,-0.15
714,0.4,0.1
714,0.25,-0.05
714,0.4,0.1
714,0.55,-0.05
715,0.25,-0.1
715,0.4,0.1
715,0.55,0.3
715,0.25,0
715,0.55,0.0499999999999999
715,0.4,0.3
715,0.4,0.2
715,0.25,-0.05
715,0.55,0.3
715,0.25,0
715,0.4,0.1
715,0.55,0.1
715,0.55,0.15
715,0.4,0.05
715,0.25,0.25
715,0.55,0.1
715,0.25,0.3
715,0.4,0.2
716,0.55,-0.3
716,0.4,-0.15
716,0.25,-0.05
716,0.25,-0.05
716,0.55,0
716,0.4,0.1
716,0.55,-0.05
716,0.4,-0.05
716,0.25,-0.05
716,0.25,-0.15
716,0.4,-0.05
716,0.55,0
716,0.25,-0.1
716,0.4,0.05
