"participant","correct_width","width_deviation"
716,0.55,0.0499999999999999
716,0.25,-0.05
716,0.55,-0.05
716,0.4,0
717,0.55,-0.2
717,0.25,-0.05
717,0.4,-0.15
717,0.4,-0.05
717,0.25,-0.05
717,0.55,-0.15
717,0.25,-0.1
717,0.55,-0.2
717,0.4,0
717,0.4,-0.1
717,0.55,-0.2
717,0.25,0.05
717,0.25,-0.05
717,0.55,-0.15
717,0.4,-0.1
717,0.4,0
717,0.25,-0.1
717,0.55,-0.15
718,0.55,-0.35
718,0.4,0.05
718,0.25,0.05
718,0.4,-0.05
718,0.55,0.1
718,0.25,-0.1
718,0.4,0.05
718,0.25,0
718,0.55,-0.1
718,0.4,-0.1
718,0.25,-0.05
718,0.55,0
718,0.4,0.05
718,0.55,-0.05
718,0.25,0
718,0.4,-0.15
718,0.55,0
718,0.25,0.05
719,0.25,0
719,0.4,-0.1
719,0.55,-0.2
719,0.25,0
719,0.4,-0.1
719,0.55,-0.25
719,0.25,0
719,0.4,-0.05
719,0.55,-0.25
719,0.55,-0.05
719,0.4,-0.1
719,0.25,0
719,0.4,0
719,0.55,0.1
719,0.25,0.1
719,0.25,0.05
719,0.55,-0.05
719,0.4,0
720,0.4,-0.15
720,0.55,-0.15
720,0.25,-0.05
720,0.55,-0.2
720,0.4,-0.1
720,0.25,0
720,0.4,-0.05
720,0.25,0.05
720,0.55,-0.1
720,0.25,-0.1
720,0.55,-0.2
720,0.4,0.05
720,0.55,-0.1
720,0.25,-0.05
720,0.4,-0.15
720,0.55,-0.05
720,0.4,-0.1
720,0.25,-0.1
