"outcome","singular_fit","chi2","df","p"
"spacing_deviation",FALSE,52.9556554172389,2,3.1682944265556e-12
"width_deviation",FALSE,38.7293480004992,2,3.89071068648039e-09
"length_deviation",TRUE,3.89231883050161,2,0.142821537838392
"width_density_deviation",FALSE,12.8118670714603,2,0.00165172755505717
