Model,k,alpha,a1,gamma,SSE,LL,AIC,BIC,RMSE,Participant,n
Linear Compression + Partial Pooling,3,0.7212677300505248,0.3296176529794568,0.1688268181286833,1.1356102066642981,625.4775417606946,-1242.9550835213893,-1226.8904548825958,0.052628708818135965,p307,410
Null,0,NA,NA,NA,4.232500000000002,484.9520180124166,-967.9040360248332,-963.6874299237484,0.09191356696600983,p308,501
Perfect Pooling,0,NA,NA,NA,7.30590277777778,348.2066265983326,-694.4132531966652,-690.1966470955804,0.12075860331672253,p308,501
Partial Pooling,1,NA,NA,-0.243153642566893,4.144099979821907,490.23937260292064,-976.4787452058413,-968.0455330036715,0.09094864840310224,p308,501
Compression + Pooling,1,0.8225185749127415,NA,NA,4.214274953549452,486.03299418273264,-968.0659883654653,-959.6327761632955,0.09171546464032401,p308,501
Compression + Partial Pooling,2,0.8905809418958789,NA,0.16747140734403468,3.39468248187523,540.2079602164952,-1074.4159204329903,-1061.7661021297358,0.08231532868838165,p308,501
Linear Compression + Partial Pooling,3,1.3868962772896516,-1.06399207496475,0.09661229298329714,2.234435278510643,644.9724978412235,-1281.944995682447,-1265.0785712781073,0.06678286199100684,p308,501
Null,0,NA,NA,NA,4.335000000000002,464.4480582579805,-926.896116515961,-922.6996723881665,0.0939623359131986,p309,491
Perfect Pooling,0,NA,NA,NA,7.932968750000002,316.09100281013923,-630.1820056202785,-625.985561492484,0.12710924106834032,p309,491
Partial Pooling,1,NA,NA,-0.371594114037027,4.131689657790001,476.24069220245553,-948.4813844049111,-940.088496149322,0.09173247273209084,p309,491
Compression + Pooling,1,0.7875723404084064,NA,NA,3.55300913561764,513.284568498272,-1022.5691369965441,-1014.1762487409551,0.08506627505639795,p309,491
Compression + Partial Pooling,2,0.8534605514082835,NA,0.18050128909906782,2.8093458580107957,570.9385796892717,-1135.8771593785434,-1123.2878269951598,0.07564180055944826,p309,491
Linear Compression + Partial Pooling,3,1.1894539881811554,-0.7240294878970531,0.17252688165343855,2.2751475718286542,622.7161864374701,-1237.4323728749403,-1220.6465963637622,0.06807129920618851,p309,491
Null,0,NA,NA,NA,3.6574999999999993,498.5270639696987,-995.0541279393974,-990.8679193154969,0.08675090872497562,p310,486
Perfect Pooling,0,NA,NA,NA,4.941215277777778,425.4250204824359,-848.8500409648718,-844.6638323409713,0.1008320862873379,p310,486
Partial Pooling,1,NA,NA,0.3892469000562836,3.121092415132341,537.066081586921,-1070.132163173842,-1061.759745926041,0.08013738736808039,p310,486
Compression + Pooling,1,0.9091699983098058,NA,NA,4.054812229686079,473.46780397908265,-942.9356079581653,-934.5631907103643,0.09134131070061528,p310,486
Compression + Partial Pooling,2,1.0235157337962246,NA,0.31148856163687866,3.0973020500003217,538.9254319273066,-1071.8508638546132,-1059.2922379829117,0.07983138158391956,p310,486
Linear Compression + Partial Pooling,3,1.0849830494427835,-0.13518725724528483,0.31514091127396227,3.0775595227469323,540.4792968725146,-1072.9585937450292,-1056.2137592494273,0.07957654806245933,p310,486
Null,0,NA,NA,NA,2.365000000000001,354.3421367815306,-706.6842735630612,-702.8701430312361,0.08402202980491079,p311,335
Perfect Pooling,0,NA,NA,NA,5.911493055555558,200.89196816654595,-399.7839363330919,-395.96980580126683,0.13283918069241285,p311,335
Partial Pooling,1,NA,NA,-0.2547870851294857,2.260651434343052,361.9005751039315,-719.801150207863,-712.1728891442128,0.08214750901180712,p311,335
Compression + Pooling,1,0.7822178665848553,NA,NA,2.4599109067126492,347.75149576255376,-691.5029915251075,-683.8747304614574,0.08569140932426107,p311,335
Compression + Partial Pooling,2,0.8743733628567031,NA,0.14686729167254434,1.5968671247177078,420.12514195251424,-834.2502839050285,-822.8078923095533,0.06904178109283371,p311,335
