"cond","n","width_bias_M","width_bias_SE","width_sd_M","width_sd_SE"
"1-bar",21,-0.129274891774892,0.0256781458059088,0.234430288072574,0.0182756195050905
"Non-RM",21,-0.091535685652843,0.0226917906184789,0.232260929395476,0.0170522083148573
"RM",21,-0.0374351899344045,0.0242467591627679,0.232563081142362,0.01343032011568
