"contrast","correct_width","correct_num","estimate","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value","cohen_d","p_fdr"
"(Non-RM) - RM","0.25","3",-0.00972030805063199,0.00554426869845718,Inf,-0.0205868750202208,0.00114625891895684,-1.75321734556929,0.0795647067494819,-0.11733051841474,0.119347060124223
"(Non-RM) - RM","0.4","3",-0.0306930310194764,0.00637143856301408,Inf,-0.0431808211326936,-0.0182052409062592,-4.81728430964525,1.4552526365663e-06,-0.370485093936988,3.27431843227418e-06
"(Non-RM) - RM","0.55","3",-0.0430307419790291,0.00582742635449059,Inf,-0.0544522877563902,-0.031609196201668,-7.38417602581452,1.53400389845458e-13,-0.519409388866244,6.90301754304562e-13
"(Non-RM) - RM","0.25","4",-0.00837242478733194,0.00536369114768992,Inf,-0.0188850662610005,0.00214021668633661,-1.56094461011944,0.118536820460166,-0.101060679925901,0.14157822251306
"(Non-RM) - RM","0.4","4",-0.0326979563918348,0.00605864493626882,Inf,-0.0445726822620376,-0.0208232305216319,-5.3969091662882,6.77986896491379e-08,-0.394685863305237,2.03396068947414e-07
"(Non-RM) - RM","0.55","4",-0.0591709583996379,0.00596874100916347,Inf,-0.0708694758106456,-0.0474724409886303,-9.91347393173805,3.63772921456626e-23,-0.714232428433699,3.27395629310963e-22
"(Non-RM) - RM","0.25","5",-0.00817290945765584,0.00533938103165449,Inf,-0.018637903979435,0.00229208506412327,-1.53068481331503,0.125847308900498,-0.0986523985277547,0.14157822251306
"(Non-RM) - RM","0.4","5",-0.006514636059694,0.00621324401935944,Inf,-0.0186923705647974,0.00566309844540939,-1.04850799991043,0.294404618445713,-0.0786359467401403,0.294404618445713
"(Non-RM) - RM","0.55","5",-0.0242800313152068,0.00605236209429307,Inf,-0.0361424430414167,-0.012417619588997,-4.01166204812847,6.02927693665803e-05,-0.293075964928304,0.000108526984859845
